скользкий;русский;скользкая заледеневшая дорога;дорога;скользкая опорная поверхность, покрытая льдом;физ.свойства;гладкий;и
скользкий;русский;скользкие заледеневшие ступеньки;ступенька;скользкая опорная поверхность, покрытая льдом;физ.свойства;гладкий;и
скользкий;русский;скользкий мокрый пол;пол;скользкая опорная поверхность, не покрытая льдом;физ.свойства;гладкий;и
скользкий;русский;скользкая лестница;лестница;скользкая опорная поверхность, не покрытая льдом;физ.свойства;гладкий;и
скользкий;русский;скользкий паркет;паркет;скользкая опорная поверхность, не покрытая льдом;физ.свойства;гладкий;и
скользкий;русский;скользкая рыба (только что пойманная);рыба;поверхность предмета, выскальзывающего из рук;физ.свойства;гладкий;и
скользкий;русский;скользкое мыло;мыло;поверхность предмета, выскальзывающего из рук;физ.свойства;гладкий;и
скользкий;русский;скользкие грибы;гриб;поверхность предмета, выскальзывающего из рук;физ.свойства;гладкий;и
скользкий;русский;скользкие руки;рука;поверхность предмета, выскальзывающего из рук;физ.свойства;гладкий;и
скользкий;русский;скользкая подошва;подошва;скользкая обувь и подошва обуви;физ.свойства;гладкий;и
скользкий;русский;скользкие ботинки;ботинок;скользкая обувь и подошва обуви;физ.свойства;гладкий;и
скользкий;русский;скользкий вопрос (неприятно обсуждать);вопрос;ненадежность: сфера деятельности;;гладкий;п
скользкий;русский;скользкий путь (жизненный);путь;ненадежность: сфера деятельности;;гладкий;п
скользкий;русский;скользкая тема;тема;ненадежность: сфера деятельности;;гладкий;п
скользкий;русский;скользкий тип (может обмануть, подвести);тип;ненадежность: человек;качества человека;гладкий;п
-скользкий;русский;льстивый человек;человек;ненадежность: человек;качества человека;гладкий;п
-скользкий;русский;болтливый человек;человек;ненадежность: человек;качества человека;гладкий;п
-скользкий;русский;красноречивый человек;человек;быстрота, легкость выполнения действия;качества человека;гладкий;п
-скользкий;русский;ловкий человек;человек;быстрота, легкость выполнения действия;качества человека;гладкий;п
-скользкий;русский;сообразительный человек;человек;быстрота, легкость выполнения действия;качества человека;гладкий;п
-скользкий;русский;ровное место (обширный участок местности);место;участок местности без зрительно заметных неровностей;физ. свойства;гладкий;и
-скользкий;русский;ровная степь;степь;участок местности без зрительно заметных неровностей;физ. свойства;гладкий;и
-скользкий;русский;ровный луг;луг;участок местности без зрительно заметных неровностей;физ. свойства;гладкий;и
-скользкий;русский;ровная тундра;тундра;участок местности без зрительно заметных неровностей;физ. свойства;гладкий;и
-скользкий;русский;плоское место (нет холмов и гор);место;участок местности без холмов и гор;физ. свойства;гладкий;и
-скользкий;русский;плоская местность;местность;участок местности без холмов и гор;физ. свойства;гладкий;и
-скользкий;русский;плоский ландшафт;ландшафт;участок местности без холмов и гор;физ. свойства;гладкий;и
-скользкий;русский;гладкая доска;доска;гладкие поверхности тактильно воспринимаемых предметов: артефакты;физ. свойства;гладкий;и
-скользкий;русский;гладкий камень;камень;гладкие поверхности тактильно воспринимаемых предметов: артефакты;физ. свойства;гладкий;и
-скользкий;русский;гладкая кожа (у девушки);кожа;гладкие поверхности тактильно воспринимаемых предметов: части тела;физ. свойства;гладкий;и
-скользкий;русский;гладкая шерсть (у собаки);шерсть;;физ. свойства;гладкий;и
-скользкий;русский;гладкие щеки (чисто выбритые);щека;;физ. свойства;гладкий;и
-скользкий;русский;гладкий подбородок (чисто выбритый);подбородок;;физ. свойства;гладкий;и
-скользкий;русский;гладкие волосы (хорошо причесанные);волосы;;физ. свойства;гладкий;и
-скользкий;русский;гладкие перышки птицы;перышко;;физ. свойства;гладкий;и
-скользкий;русский;ровная дорога (заасфальтированная);дорога;ровная дорога (нет выбоин, ухабов на поверхности);физ. свойства;гладкий;и
-скользкий;русский;ровное шоссе;шоссе;ровная дорога (нет выбоин, ухабов на поверхности);физ. свойства;гладкий;и
-скользкий;русский;ровная тропинка;тропинка;ровная дорога (нет выбоин, ухабов на поверхности);физ. свойства;гладкий;и
-скользкий;русский;гладкая поверхность воды в озере (при штиле);поверхность воды;"поверхность воды в водоеме (+ везде: возможна ли сочетаемость с названием самого водоема и со словом ""вода"")";физ. свойства;гладкий;и
-скользкий;русский;ровный пол;пол;зрительно воспринимаемые поверхности артефактов: горизонтальные;физ. свойства;гладкий;и
-скользкий;русский;ровный потолок;потолок;зрительно воспринимаемые поверхности артефактов: горизонтальные;физ. свойства;гладкий;и
-скользкий;русский;ровная стена;стена;зрительно воспринимаемые поверхности артефактов: вертикальные;физ. свойства;гладкий;и
-скользкий;русский;ровный забор;забор;зрительно воспринимаемые поверхности артефактов: вертикальные;физ. свойства;гладкий;и
-скользкий;русский;красивая девушка;девушка;отсутствие недостатков, затруднений: характеристика человека;;гладкий;п
-скользкий;русский;стройная девушка;девушка;отсутствие недостатков, затруднений: характеристика человека;;гладкий;п
-скользкий;русский;добрый человек;человек;отсутствие недостатков, затруднений: характеристика человека;качества человека;гладкий;п
-скользкий;русский;мягкий человек;человек;отсутствие недостатков, затруднений: характеристика человека;качества человека;гладкий;п
-скользкий;русский;аккуратный человек;человек;отсутствие недостатков, затруднений: характеристика человека;качества человека;гладкий;п
-скользкий;русский;красивый парень;парень;отсутствие недостатков, затруднений: характеристика человека;;гладкий;п
-скользкий;русский;стройный парень;парень;отсутствие недостатков, затруднений: характеристика человека;;гладкий;п
-скользкий;русский;красивый человек;человек;отсутствие недостатков, затруднений: характеристика человека;;гладкий;п
-скользкий;русский;стройный человек;человек;отсутствие недостатков, затруднений: характеристика человека;;гладкий;п
-скользкий;русский;приятный вкус (+ сочетаемость с названиями естественных для информанта блюд);вкус;отсутствие недостатков, затруднений: вкус;физ.свойства: вкус;гладкий;п
-скользкий;русский;равные расстояния между селами.;расстояние;равномерность: статичные объекты;физ. свойства;гладкий;п
-скользкий;русский;ровный загар.;загар;равномерность: статичные объекты;физ. свойства;гладкий;п
-скользкий;русский;одинаково хорошее качество;качество;равномерность: статичные объекты;;гладкий;п
-скользкий;русский;равные промежутки времени.;промежутки времени;равномерность: статичные объекты;;гладкий;п
-скользкий;русский;ровный звук (всё время одинаковый).;звук;равномерность: действия, процессы;физ. свойства: звук;гладкий;п
-скользкий;русский;ровный ритм;ритм;равномерность: действия, процессы;физ. свойства: звук;гладкий;п
-скользкий;русский;постоянная скорость;скорость;равномерность: действия, процессы;скорость;гладкий;п
-скользкий;русский;ровное гудение;гудение;равномерность: действия, процессы;физ. свойства: звук;гладкий;п
-скользкий;русский;ровное дыхание;дыхание;равномерность: действия, процессы;физ. свойства: звук;гладкий;п
-скользкий;русский;ровная линия (прямая);линия;ровная линия, край;физ. свойства: форма;гладкий;п
-скользкий;русский;прямая дорога;дорога;ровная линия, край;физ. свойства: форма;гладкий;п
-скользкий;русский;гладкая ткань (без рисунка);ткань;"отсутствие ресурса, отличительных качеств; малая интенсивность";физ.свойства;гладкий;п
-скользкий;русский;простой, легкий для понимания текст (положительная оценка);текст;"отсутствие ресурса, отличительных качеств; малая интенсивность";;гладкий;п
-скользкий;русский;слабая боль.;боль;"отсутствие ресурса, отличительных качеств; малая интенсивность";низкая степень;гладкий;п
-скользкий;русский;тихий шепот;шепот;"отсутствие ресурса, отличительных качеств; малая интенсивность";низкая степень;гладкий;п
-скользкий;русский;фасад без украшений.;фасад;"отсутствие ресурса, отличительных качеств; малая интенсивность";физ.свойства;гладкий;п
